Date,AAXJ,ACWI,ACWX,BND,DVY,EMB,EUFN,IBB,IEF,IEI,IJT,IUSG,IUSV,MBB,MCHI,PFF,QQQ,QTEC,SCZ,SHV,SHY,TLT,TQQQ,VCIT,VCLT,VCSH,VGIT,VGSH,VMBS,VNQI,VONE,VONG,VONV,VTWO,VXUS
2012/9/18,50.33695602,41.88263702,34.88431549,72.94211578,47.47968674,91.40116119,14.76491165,47.50342178,95.31755066,113.7360458,81.2000351,24.94198227,25.840065,95.72207642,37.20571899,27.94021797,65.45189667,24.7851162,33.62321854,107.615181,80.86585999,102.3476715,5.388486862,70.77977753,69.76932526,70.4006424,59.12202835,57.96946335,46.76590347,40.16020203,59.6933136,63.78917313,55.84264755,63.08790588,38.15940475
2012/9/19,50.56028366,41.90893936,34.97896957,73.03707123,47.61001587,91.49206543,14.85464096,47.28936386,95.54011536,113.7914581,80.43826294,25.03651237,25.8696537,95.80995178,37.59725952,27.94021797,65.57299805,24.79445839,33.66598511,107.605423,80.86585999,103.0196533,5.424304485,70.91735077,70.19589233,70.37438202,59.15780258,57.95043182,46.76590347,40.22924042,59.97947693,64.05460358,55.98206329,62.96835709,38.30067444
2012/9/20,50.18509674,41.71605301,34.76383972,73.05430603,47.6751709,91.43147278,14.60991764,47.39803696,95.59355927,113.8099365,80.05265045,24.95098495,25.82930183,95.86269379,37.1434288,27.94719696,65.50777435,24.63557625,33.51198196,107.605423,80.84671783,103.2748413,5.411809921,70.82834625,70.18067932,70.37438202,59.17568588,57.95043182,46.73046875,40.04512024,59.79167557,63.82578278,55.88620377,62.56371307,38.02644348
2012/9/21,50.31909561,41.68974686,34.77244949,73.13201141,47.73219299,91.62080383,14.77306557,47.66478729,95.79828644,113.9300232,80.30657959,24.94198227,25.85889244,96.00325775,37.40148926,27.92622375,65.52645874,24.67408752,33.58043289,107.605423,80.85629272,103.3939514,5.411809921,70.94970703,70.20349121,70.39186859,59.24718475,57.95993042,46.81906891,40.04512024,59.97053146,63.94476318,56.02562714,62.83041763,38.12617111
2012/9/24,50.33695602,41.57577133,34.68640137,73.20973206,47.80551147,91.37844849,14.68333149,47.20266724,96.01196289,113.985405,79.77992249,24.8565979,25.82673645,96.07357025,37.37479401,27.80737495,65.14350128,24.42988968,33.43498611,107.605423,80.86585999,104.2020493,5.311853409,71.00637054,70.49292755,70.43565369,59.33660889,57.95043182,46.82792282,40.02645111,59.60681534,63.68379211,55.89505768,62.59130859,38.00533676
2012/9/25,49.65805817,41.19876862,34.35081482,73.35650635,47.53261948,91.35572052,14.49571419,46.97490311,96.36811829,114.0408554,78.78474426,24.58101654,25.56184006,96.17025757,36.87645721,27.86330414,64.22809601,24.08236313,33.23821259,107.5956345,80.84671783,105.2312851,5.098613262,71.02256012,70.74429321,70.4269104,59.38127518,57.96946335,46.88109589,39.77745819,59.01405334,63.37132645,55.29035187,61.6808548,37.68426514
2012/9/26,49.43473434,40.93574524,34.07545471,73.47731018,47.43398666,91.37844849,14.14494228,46.31141281,96.76876831,114.2532654,78.22873688,24.43644714,25.41588402,96.10874939,36.55611038,27.86330414,63.70497513,23.91329575,33.0243187,107.5956345,80.86585999,106.3626633,4.964504719,71.04682159,70.98802948,70.40937805,59.47963333,57.96946335,46.92539215,39.83969879,58.64583969,62.6545372,55.00114822,61.16584396,37.34629822
2012/9/27,50.39056015,41.38288498,34.48848724,73.43412781,47.4586525,91.52233887,14.41413879,46.9914093,96.56401825,114.2070923,79.16169739,24.67136765,25.63482285,95.97692108,37.47267532,27.89126968,64.58303833,24.317173,33.4178772,107.5956345,80.87542725,105.6055679,5.175245762,70.96591187,70.78997803,70.47074127,59.46176529,57.97894669,46.87223053,40.35326004,59.24757385,63.32537079,55.56202316,61.93835449,37.89550018
2012/9/28,50.25656128,40.93574524,33.89474487,73.50321198,47.40933609,91.83285522,14.06336975,47.06732178,96.56401825,114.271759,78.79417419,24.55842781,25.52670479,95.92422485,37.37479401,27.87029076,64.05059814,24.23264503,33.10987473,107.605423,80.91374207,105.6651382,5.051133156,71.13387299,71.05065918,70.49619293,59.52350998,57.99323273,46.8731308,40.01867294,58.97812653,62.77400589,55.28158188,61.48773575,37.35474396
2012/10/1,50.73000717,41.1549263,34.24755096,73.55854797,47.43398666,91.92401123,14.2999382,47.41060638,96.74319458,114.2930298,78.94494629,24.59456635,25.6023922,95.9136734,37.69514847,27.94267654,63.95718384,24.19507408,33.21254349,107.59758,80.91564178,106.0572662,5.029476643,71.2798996,71.35643005,70.58390808,59.53247452,57.99323273,46.74013519,40.08091354,59.08590698,63.00374603,55.40429306,61.65327072,37.60822296
2012/10/2,50.73000717,41.26013947,34.36801529,73.55854797,47.54084015,92.18994904,14.36519527,47.92224121,96.68076324,114.3115005,78.90725708,24.6216774,25.6645546,95.85205841,37.71294403,27.96375465,64.14398956,24.33596039,33.27243042,107.6073608,80.8965683,105.9122925,5.061962128,71.44219971,71.41756439,70.63656616,59.53247452,57.99323273,46.8021965,40.07313156,59.13081741,62.89347839,55.48315048,61.58889008,37.77721024
2012/10/3,50.73000717,41.24261093,34.20453262,73.53261566,47.74632263,92.37992096,14.28362465,48.26554871,96.77883911,114.3577194,78.70935059,24.74817276,25.70509911,95.89606476,37.66845322,27.98484993,64.55501556,24.29838943,33.09276962,107.59758,80.8965683,105.946434,5.157753944,71.42596436,71.39463043,70.6628952,59.5861702,58.00274658,46.90857315,40.21320343,59.41819763,63.28861618,55.50067902,61.62568665,37.61666107
2012/10/4,51.11412048,41.60207367,34.58313751,73.41149139,48.0668869,92.38750458,14.53650188,48.46360016,96.39552307,114.2098541,78.98264313,24.87918472,25.91592789,95.72890472,37.99770737,28.04106522,64.77918243,24.392313,33.62321854,107.6073608,80.8965683,104.6251755,5.217727184,71.4827652,71.14239502,70.6628952,59.47874069,57.97420883,46.84650803,40.664505,59.7953949,63.71136093,56.14920425,61.9935379,37.99689484
2012/10/5,51.15878677,41.65467834,34.63477325,73.33364105,48.1655159,92.41794586,14.74043369,48.58242798,95.95871735,114.0157928,78.70935059,24.84303856,25.96458435,95.74650574,38.18457794,28.09025192,64.43358612,24.27960777,33.68310547,107.59758,80.85820007,103.2698441,5.127767086,71.36919403,70.82131958,70.67166901,59.34448242,57.95519257,46.81106186,40.53222275,59.78642654,63.97781372,56.29817581,61.9107666,38.06448364
2012/10/8,50.62281418,41.43548584,34.21313095,73.42883301,48.09975815,92.15196991,14.49571419,48.12360764,96.27072906,114.1821442,78.34181976,24.73009682,25.92403603,95.81685638,37.78413391,28.07619858,63.84509659,24.14810944,33.45209885,107.6073608,80.86779785,104.1393204,4.99199295,71.46652985,71.05065918,70.70677185,59.39820099,57.99323273,46.76673126,40.29878235,59.5978241,63.39889145,56.19300461,61.71762848,37.74341202
2012/10/9,50.17617035,40.92697525,33.84312057,73.29911041,47.84495926,92.06838989,14.29178047,47.2191658,96.07456207,114.071228,77.29573822,24.43193054,25.74834633,95.63211823,37.59725952,28.01295662,62.82695389,23.65970421,33.04143143,107.6073608,80.86779785,103.951767,4.73543787,71.46652985,71.2952652,70.68920898,59.32660675,57.96467972,46.71353531,40.15873718,59.5978241,62.76482391,55.78110886,60.81637955,37.29559326
2012/10/10,49.85457993,40.79545593,33.66241455,73.41149139,47.59016418,92.08359528,14.19388962,46.85276031,96.30634308,114.1174316,77.27690887,24.26928902,25.53751755,95.7113266,37.82862854,28.06917381,62.50937271,23.39671135,32.92165756,107.6073608,80.85820007,104.6848373,4.67796278,71.61257935,71.89149475,70.70677185,59.38029099,57.96467972,46.75786209,40.10425949,59.5978241,62.26857758,55.30787277,60.66923904,37.14350891
2012/10/11,50.2654953,40.95327759,33.92056274,73.4720993,47.56549835,92.59267426,14.471241,47.08382416,96.39552307,114.1081696,77.40883636,24.26928902,25.63752747,95.72012329,38.54942703,28.16053963,62.31319809,23.49063301,33.00720978,107.59758,80.84860992,105.4094467,4.636313915,71.69371796,72.17430878,70.7594223,59.38923264,57.96467972,46.72240829,40.26767349,58.8254509,62.277771,55.63213348,61.0279007,37.38852692
2012/10/12,50.06897354,40.88314056,33.84312057,73.52396393,47.32713699,93.10934448,14.55281734,46.75373459,96.40441132,114.1359024,76.94707489,24.24218559,25.46183395,95.75526428,38.72740555,28.13945198,62.28517151,23.40610123,32.99010849,107.59758,80.87733459,105.6736832,4.635481358,71.83976746,72.54885101,70.77700043,59.43401337,57.97420883,46.74900055,40.28322601,58.55603409,62.16749954,55.12383652,60.47611237,37.33784485
2012/10/15,50.45308685,41.1549263,34.092659,73.49801636,47.66414261,93.3524704,14.74043369,46.9814949,96.43115234,114.0989532,77.4276886,24.43644714,25.65103912,95.62330627,38.86978149,28.14648056,62.74288177,23.57516098,33.30665588,107.59758,80.85820007,105.4349899,4.727941036,71.96143341,72.48768616,70.85597229,59.43401337,57.96467972,46.68694687,40.6333847,58.91527176,62.64533615,55.51819992,60.88995743,37.72650909
2012/10/16,50.92652893,41.65467834,34.574543,73.35100555,47.94359207,93.57286835,15.14014912,47.55255508,95.97655487,113.9418716,78.05911255,24.70299149,25.8970089,95.63211823,39.23463058,28.18163872,63.63027191,23.96965027,33.67454147,107.59758,80.85820007,103.9773636,4.933684826,72.01013184,72.36540222,70.82085419,59.29973984,57.93618393,46.69581223,41.15472031,59.53496552,63.16916656,56.05278015,61.34977341,38.25037003
2012/10/17,51.26598358,41.97908783,34.95314789,73.16928864,48.42032242,93.58043671,15.31961155,48.16651917,95.37030029,113.5906982,78.69052124,24.69395828,26.132164,95.59693146,39.70626831,28.20271683,63.59288025,23.74423218,33.98254013,107.59758,80.81031799,103.0141373,4.918691158,71.9695816,71.63924408,70.82962799,59.08489227,57.91714478,46.69581223,41.41149902,59.89420319,63.31620026,56.44716263,61.95675278,38.55455017
2012/10/18,51.1230545,41.8651123,34.79826355,73.13471985,48.51895142,93.39805603,15.20540714,47.44692612,95.20093536,113.4982681,78.3135376,24.55390739,26.1889286,95.52655029,39.715168,28.26595879,62.85496902,23.61273384,33.93120956,107.6073608,80.81987,102.3833466,4.750431538,71.8722229,71.37934113,70.80332947,59.00435638,57.91714478,46.69581223,41.15472031,59.77743912,62.96698761,56.74513245,61.61648941,38.48695374
2012/10/19,50.19403458,41.22507858,34.35081482,73.24718475,47.87783432,93.25373077,14.85464096,46.01434326,95.60208893,113.6646271,76.9941864,24.12472916,25.76996803,95.63211823,39.43040848,28.18864632,61.35108566,23.05857849,33.54620743,107.59758,80.81987,103.7727814,4.407247543,71.88033295,71.49401855,70.72429657,59.12966156,57.93618393,46.74900055,40.77344513,58.78953171,61.77234268,56.2543602,60.3381691,37.90395737
2012/10/22,50.82826614,41.41795731,34.65198135,73.14337158,47.80387115,93.11694336,15.05857372,45.84599304,95.28113556,113.4797745,76.85285187,24.13827705,25.68888092,95.55294037,39.99102402,28.13945198,61.66866684,23.12432861,33.81143188,107.6073608,80.79115295,103.1078873,4.476383686,71.62069702,71.2341156,70.73310852,59.03122711,57.93618393,46.72240829,41.17806625,58.69073868,61.71720123,55.64966202,60.3381691,38.22502518
2012/10/23,49.90818024,40.74285507,33.94638062,73.30774689,47.31892395,92.9650116,14.72412109,44.95806122,95.73583221,113.6738358,76.70204926,23.88528633,25.38074684,95.64971924,39.28803253,28.11133957,61.08019638,23.13371658,33.19542694,107.6073608,80.82946777,104.5825882,4.343941689,71.75050354,71.54751587,70.7594223,59.13863754,57.93618393,46.73128128,40.56335068,58.05309677,61.25773621,54.96609116,59.88753128,37.42233276
2012/10/24,50.31909561,40.72532272,33.95498276,73.27310181,47.17919159,92.97257233,14.64254856,45.04057693,95.53076172,113.6553802,76.26853943,23.77685738,25.3158741,95.64091492,39.67957687,28.06917381,60.86535263,22.88951302,33.2980957,107.59758,80.81987,103.551178,4.300626755,71.74240112,71.44814301,70.76822662,59.15652466,57.94569016,46.73128128,40.95241165,57.81060791,61.00961685,54.85216522,59.72199631,37.52372742
2012/10/25,50.82826614,40.92697525,34.21313095,73.15201569,47.36823273,92.7978363,14.73227692,45.05708694,95.18315887,113.4151382,76.588974,23.80396652,25.42939758,95.52655029,39.91093826,28.05511665,60.86535263,23.03979874,33.52054596,107.59758,80.79115295,103.0226517,4.300626755,71.65312958,71.08887482,70.69797516,58.99541855,57.92666245,46.71353531,41.29478455,57.89143753,61.00961685,54.98361588,59.86914063,37.79410172
2012/10/26,50.37269592,40.78668976,34.05824661,73.30774689,47.34357834,92.54708862,14.74043369,44.54875183,95.78929901,113.6923447,76.38163757,23.83106804,25.33479309,95.6145401,39.43930817,28.06215668,61.04283142,22.96465302,33.47776413,107.59758,80.81031799,104.5399704,4.345607281,71.84786987,71.47872162,70.7507019,59.1833992,57.91714478,46.70467758,41.08468628,57.92735672,61.13825607,54.94856262,59.83235931,37.64201736
2012/10/31,50.29229736,40.72532272,34.10987473,73.42883301,47.53261948,92.40270233,14.84648037,43.52876663,96.18154144,113.8956528,77.04129791,23.84011078,25.40236855,95.70250702,39.47491074,28.1535244,60.66919327,22.82376289,33.366539,107.59758,80.85820007,105.1536865,4.26147747,72.0426178,71.98322296,70.82085419,59.3086853,57.95519257,46.72240829,41.15472031,57.92735672,61.12905884,55.02743912,60.10825729,37.65891266
2012/11/1,51.20345306,41.26890564,34.50569534,73.31632996,47.88605118,92.14434052,15.08304787,44.24836349,95.98960114,113.8032379,77.85175323,24.14279175,25.68347359,95.54413605,40.64953995,28.09025192,61.52855301,23.48124123,33.68310547,107.6073608,80.8390274,104.2927322,4.442232132,72.06695557,71.8456192,70.82962799,59.27286148,57.96467972,46.7755928,41.7227478,58.64583969,61.88263321,55.52696228,60.81637955,38.08983231
2012/11/2,50.86399841,40.92697525,34.20453262,73.3423233,47.34357834,91.83285522,14.89542866,43.2052803,96.06996155,113.8217163,76.73974609,23.98919296,25.45372772,95.5881424,40.45376205,28.06917381,60.87471008,23.23703575,33.46065903,107.6073608,80.82946777,104.2160263,4.279803276,72.07427216,71.69757843,70.82610321,59.28813934,57.95044327,46.7800293,41.48153687,58.13393784,61.30367279,55.11507416,59.85075378,37.81100082
2012/11/5,51.17665863,40.96204376,34.20453262,73.45480347,47.21207428,92.15196991,14.77306557,43.99420166,96.30203247,113.9603043,77.2297821,23.98015976,25.46723747,95.63211823,40.9076004,28.07619858,61.27635574,23.46245575,33.34088135,107.587822,80.82946777,104.8042068,4.384757042,72.07427216,71.82798004,70.81730652,59.3687706,57.95994949,46.76229095,41.63715363,58.22373962,61.41395187,55.13259888,60.27379608,37.8025589
2012/11/6,51.55184174,41.09355927,34.50569534,73.22119141,47.53261948,92.30391693,14.95252895,43.92818069,95.86466217,113.6923447,77.89889526,24.13827705,25.69428635,95.46497345,41.1033783,28.09729004,61.38845444,23.75362396,33.58898544,107.587822,80.80069733,103.8153915,4.411412239,71.78955078,71.33705139,70.58879089,59.23435211,57.92190933,46.75343323,41.84724808,58.70871353,61.89179993,55.67594528,60.69683075,38.08137894
2012/11/7,50.69427872,40.54997635,33.94638062,73.39421082,46.52164459,92.28113556,14.66701794,42.8983078,96.6680603,114.0897369,76.40991974,23.7136097,25.05098343,95.4561615,40.19569397,27.99186897,59.94059753,23.15250778,33.11843109,107.587822,80.86779785,105.699234,4.094883442,72.04985046,71.67456818,70.71186829,59.49425507,57.9884758,46.71795273,41.24808884,57.69385529,60.85338593,54.30004883,59.23458862,37.51528168
2012/11/8,50.17617035,40.12912369,33.65381241,73.50670624,46.12710953,92.42550659,14.5691309,42.38665771,97.09653473,114.2838058,75.30729675,23.37478256,24.85096741,95.47375488,39.51049423,27.88645935,58.99718094,22.89890289,32.82754517,107.587822,80.86779785,107.2676392,3.903300285,71.93600464,71.98906708,70.79975891,59.58383942,57.9884758,46.66471863,40.81234741,56.85861206,59.94361877,53.96703339,58.37931442,37.14350891
2012/11/9,50.48881912,40.09405136,33.63660049,73.43743896,46.07780075,92.3951416,14.40598202,42.91480637,97.10546112,114.2745209,75.25074005,23.41995621,24.78879166,95.29782104,39.55498886,27.90753937,59.24937439,22.90829659,32.7077713,107.587822,80.86779785,107.3870163,3.945781708,71.87090302,71.98906708,70.72063446,59.61071396,57.9884758,46.59375381,40.78900528,56.77780151,60.02632523,53.79175568,58.45288849,37.20265198
2012/11/12,50.67640686,40.13788986,33.66241455,73.54988861,45.95450974,92.38750458,14.45492744,43.67071152,97.16795349,114.3299789,75.23189545,23.44706345,24.7725811,95.3154068,39.80414963,27.97077942,59.2400322,22.87072754,32.69065475,107.587822,80.86779785,107.5660095,3.951612711,72.11493683,71.82030487,70.72063446,59.61968994,57.99799728,46.53165817,40.85125351,56.84065628,60.10903549,53.78297424,58.37931442,37.20265198
2012/11/13,50.10470581,39.93624115,33.4731102,73.5412674,45.89697266,92.2963562,14.57728958,43.66741943,97.28400421,114.376152,74.80783081,23.38381386,24.68338585,95.20104218,39.19903564,27.92863464,58.82904053,22.65470123,32.41688156,107.587822,80.87733459,107.9240112,3.865816593,72.08242798,71.98906708,70.69421387,59.62867737,58.00750351,46.48732758,40.6333847,56.73289108,60.00793457,53.45872498,58.01145935,36.97451401
2012/11/14,49.69379425,39.42771912,33.08588791,73.52396393,45.28050995,92.27352905,14.30809498,42.82569122,97.31079865,114.3577194,73.57327271,23.04949951,24.31578064,95.14823151,38.86978149,27.61236572,58.13781738,22.44806671,32.15166855,107.587822,80.8965683,108.0262833,3.727543592,71.92784882,71.53648376,70.72063446,59.64657211,57.9884758,46.43411255,40.42328644,55.89765167,59.02466202,52.64370346,56.84350586,36.57739639
2012/11/15,49.73845673,39.47156525,33.18054581,73.51530457,45.14078903,91.99239349,14.38150978,42.43618011,97.2661438,114.385437,73.00782776,22.99528885,24.28334427,95.18341827,38.82529068,27.51398849,57.94165039,22.49503517,32.12598801,107.6073608,80.8965683,107.8132019,3.694224596,71.90341949,71.45215607,70.67667389,59.67347717,57.99799728,46.44295502,40.53222275,55.65516663,58.95114899,52.68752289,56.5216217,36.65343094
2012/11/16,49.65805817,39.61185074,33.20635986,73.48073578,45.57640839,91.74922943,14.24283314,43.44625092,97.3286438,114.431633,73.57327271,23.10822868,24.41849518,95.23625183,38.79859543,27.76698494,58.19385529,22.46685791,32.22865295,107.59758,80.8965683,107.7194672,3.735873222,72.00104523,71.39080048,70.74701691,59.70035172,57.99799728,46.46958923,40.6333847,55.96052551,59.26359558,52.92414856,57.09180832,36.65343094
2012/11/19,50.55134964,40.38338852,33.86893845,73.48073578,46.18464661,92.0532074,14.65070248,44.0437088,97.13227081,114.3299789,74.93032074,23.59614563,24.83204079,95.33296204,39.67957687,27.88645935,59.57630539,22.85194206,32.83610535,107.59758,80.88690186,107.1142349,4.00492239,72.08242798,71.59786987,70.79095459,59.62867737,57.9884758,46.55828094,41.26366043,57.05620575,60.43066025,53.66905975,58.25055695,37.41387939
2012/11/20,50.328022,40.39215088,33.90336227,73.36826324,46.30792999,92.34194183,14.8220129,44.96136093,96.73052979,114.1636505,75.15648651,23.63228798,24.86717987,95.28023529,39.30582047,27.90051651,59.59499359,22.73922729,32.90454483,107.59758,80.86779785,106.0401764,4.005755901,71.81394958,71.27568817,70.73822021,59.52110291,57.96945572,46.49619675,41.07690811,57.1190834,60.51337051,53.81803894,58.39771652,37.36318588
2012/11/21,50.39949036,40.52367401,33.9980011,73.29040527,46.33259201,92.22794342,14.76491165,45.06698608,96.58770752,114.080452,75.41095734,23.70456886,24.91853905,95.26261139,39.62617874,27.89349174,59.71641541,22.90829659,32.87031937,107.59758,80.85820007,105.9805069,4.034076691,71.74890137,71.24500275,70.72063446,59.44045639,57.95994949,46.51393509,41.03022003,57.26277161,60.7614975,54.01084518,58.60003662,37.46458435
2012/11/23,51.32851791,41.1549263,34.66919327,73.30774689,46.71068573,92.28113556,15.19725132,45.62483978,96.53414917,114.0527115,75.94810486,23.98467445,25.23748779,95.27141571,40.45376205,27.94267654,60.62248993,23.39671135,33.49487686,107.59758,80.85820007,105.8782425,4.218995571,71.83835602,71.27568817,70.72942352,59.44045639,57.97894669,46.51393509,41.74608994,57.99919891,61.45070267,54.01084518,59.33575439,38.19122314
2012/11/26,51.31958008,41.06726074,34.54872131,73.29040527,46.79288101,92.45589447,15.13199139,45.39707947,96.69486237,114.1359024,76.44759369,23.99822617,25.18342781,95.29782104,40.35588074,27.93564796,60.88404083,23.48124123,33.51198196,107.6073608,80.84860992,106.3811646,4.273139477,71.76512909,71.40612793,70.69421387,59.52110291,57.97894669,46.53165817,41.67606735,57.94531631,61.52421951,54.52790451,59.38173294,38.08137894
2012/11/27,51.07838821,40.83930588,34.37662506,73.43743896,46.73534393,92.57746887,15.05041981,45.22873306,96.91799164,114.2468033,76.41933441,23.92142677,25.04828072,95.3154068,39.89314651,27.98484993,60.67854691,23.3403511,33.366539,107.6171265,80.85820007,106.7988358,4.224826336,71.99291992,71.4828186,70.63272858,59.55696487,57.9884758,46.56713486,41.5437851,57.62201309,61.3128624,54.55419159,59.43690491,37.82790756
2012/11/28,51.45356369,41.1198616,34.65198135,73.48073578,47.0230217,92.74462128,15.05857372,45.43999481,97.04293823,114.3299789,76.90938568,24.12020874,25.22127151,95.33296204,40.04442596,28.01295662,61.20162201,23.51881218,33.56332016,107.6171265,80.86779785,106.6454315,4.338110924,72.03359222,71.3523941,70.72942352,59.60177994,57.97894669,46.54940796,41.85503006,58.03514481,61.68045044,54.44903946,59.51967621,38.0729332
